Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max
Escavalier,"Bug, Steel",Cavalry Pokémon,1.0 m (3′03″),33.0 kg (72.8 lbs),"1. Swarm, 2. Shell Armor, Overcoat (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,135,247,405,105,193,339,60,112,240,105,193,339,20,40,152
Espathra,Psychic,Ostrich Pokémon,1.9 m (6′03″),90.0 kg (198.4 lbs),"1. Opportunist, 2. Frisk, Speed Boost (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,60,112,240,60,112,240,101,186,331,60,112,240,105,193,339
Espeon,Psychic,Sun Pokémon,0.9 m (2′11″),26.5 kg (58.4 lbs),"1. Synchronize, Magic Bounce (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,65,121,251,60,112,240,130,238,394,95,175,317,110,202,350
Espurr,Psychic,Restraint Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),"1. Keen Eye, 2. Infiltrator, Own Tempo (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),71,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,48,90,214,54,101,227,63,117,247,60,112,240,68,126,258
Eternatus,"Poison, Dragon",Gigantic Pokémon,20.0 m (65′07″),950.0 kg (2094.4 lbs),1. Pressure,3 HP,"255 (33.3% with PokéBall, full HP)",0 (lower than normal),345,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",140,390,484,85,157,295,95,175,317,145,265,427,95,175,317,130,238,394
Eternatus Eternamax,"Poison, Dragon",Gigantic Pokémon,100.0 m (328′01″),—,—,3 HP,—,0 (lower than normal),563,Slow,Undiscovered,—,"120 (30,584–30,840 steps)",255,620,714,115,211,361,250,454,658,125,229,383,250,454,658,130,238,394
Excadrill,"Ground, Steel",Subterrene Pokémon,0.7 m (2′04″),40.4 kg (89.1 lbs),"1. Sand Rush, 2. Sand Force, Mold Breaker (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),178,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,135,247,405,60,112,240,50,94,218,65,121,251,88,162,302
Exeggcute,"Grass, Psychic",Egg Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),"1. Chlorophyll, Harvest (hidden ability)",1 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),65,Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,40,76,196,80,148,284,60,112,240,45,85,207,40,76,196
Exeggutor,"Grass, Psychic",Coconut Pokémon,2.0 m (6′07″),120.0 kg (264.6 lbs),"1. Chlorophyll, Harvest (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),186,Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,95,175,317,85,157,295,125,229,383,75,139,273,55,103,229
Alolan Exeggutor,"Grass, Dragon",Coconut Pokémon,10.9 m (35′09″),415.6 kg (916.2 lbs),"1. Frisk, Harvest (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),186,Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,105,193,339,85,157,295,125,229,383,75,139,273,45,85,207
Exploud,Normal,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs),"1. Soundproof, Scrappy (hidden ability)",3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",104,318,412,91,168,309,63,117,247,91,168,309,73,135,269,68,126,258
Falinks,Fighting,Formation Pokémon,3.0 m (9′10″),62.0 kg (136.7 lbs),"1. Battle Armor, Defiant (hidden ability)","2 Attack, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,"Fairy, Mineral",Genderless,"25 (6,169–6,425 steps)",65,240,334,100,184,328,100,184,328,70,130,262,60,112,240,75,139,273
Farfetch'd,"Normal, Flying",Wild Duck Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs),"1. Keen Eye, 2. Inner Focus, Defiant (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),132,Medium Fast,"Field, Flying","50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,90,166,306,55,103,229,58,108,236,62,116,245,60,112,240
Galarian Farfetch'd,Fighting,Wild Duck Pokémon,0.8 m (2′07″),42.0 kg (92.6 lbs),"1. Steadfast, Scrappy (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),132,Medium Fast,"Field, Flying","50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,95,175,317,55,103,229,58,108,236,62,116,245,55,103,229
Farigiraf,"Normal, Psychic",Long Neck Pokémon,3.2 m (10′06″),160.0 kg (352.7 lbs),"1. Cud Chew, 2. Armor Tail, Sap Sipper (hidden ability)",3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),260,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",120,350,444,90,166,306,70,130,262,110,202,350,70,130,262,60,112,240
Fearow,"Normal, Flying",Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"1. Keen Eye, Sniper (hidden ability)",2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),155,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,65,121,251,61,114,243,61,114,243,100,184,328
Feebas,Water,Fish Pokémon,0.6 m (2′00″),7.4 kg (16.3 lbs),"1. Swift Swim, 2. Oblivious, Adaptability (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),40,Erratic,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",20,150,244,15,31,141,20,40,152,10,22,130,55,103,229,80,148,284
Fennekin,Fire,Fox Pokémon,0.4 m (1′04″),9.4 kg (20.7 lbs),"1. Blaze, Magician (hidden ability)",1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),61,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,40,76,196,62,116,245,60,112,240,60,112,240
Feraligatr,Water,Big Jaw Pokémon,2.3 m (7′07″),88.8 kg (195.8 lbs),"1. Torrent, Sheer Force (hidden ability)","2 Attack, 1 Defense","45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",85,280,374,105,193,339,100,184,328,79,146,282,83,153,291,78,144,280
Ferroseed,"Grass, Steel",Thorn Seed Pokémon,0.6 m (2′00″),18.8 kg (41.4 lbs),1. Iron Barbs,1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Grass, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",44,198,292,50,94,218,91,168,309,24,47,161,86,159,298,10,22,130
Ferrothorn,"Grass, Steel",Thorn Pod Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Iron Barbs, Anticipation (hidden ability)",2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),171,Medium Fast,"Grass, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",74,258,352,94,173,315,131,240,397,54,101,227,116,213,364,20,40,152
Fezandipiti,"Poison, Fairy",Retainer Pokémon,1.4 m (4′07″),30.1 kg (66.4 lbs),"1. Toxic Chain, Technician (hidden ability)",3 Sp. Def,"3 (0.4% with PokéBall, full HP)",—,—,Slow,Undiscovered,"100% male, 0% female",—,88,286,380,91,168,309,82,152,289,70,130,262,125,229,383,99,182,326
Fidough,Fairy,Puppy Pokémon,0.3 m (1′00″),10.9 kg (24.0 lbs),"1. Own Tempo, Klutz (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",37,184,278,55,103,229,70,130,262,30,58,174,55,103,229,65,121,251
Finizen,Water,Dolphin Pokémon,1.3 m (4′03″),60.2 kg (132.7 lbs),1. Water Veil,1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),63,Slow,"Field, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,45,85,207,40,76,196,45,85,207,40,76,196,75,139,273
Finneon,Water,Wing Fish Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"1. Swift Swim, 2. Storm Drain, Water Veil (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Erratic,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",49,208,302,49,92,216,56,105,232,49,92,216,61,114,243,66,123,254
Flaaffy,Electric,Wool Pokémon,0.8 m (2′07″),13.3 kg (29.3 lbs),"1. Static, Plus (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,55,103,229,55,103,229,80,148,284,60,112,240,45,85,207
Flabébé,Fairy,Single Bloom Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs),"1. Flower Veil, Symbiosis (hidden ability)",1 Sp. Def,"225 (29.4% with PokéBall, full HP)",50 (normal),61,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",44,198,292,38,72,192,39,74,194,61,114,243,79,146,282,42,80,201
Flamigo,"Flying, Fighting",Synchronize Pokémon,1.6 m (5′03″),37.0 kg (81.6 lbs),"1. Scrappy, 2. Tangled Feet, Costar (hidden ability)",2 Attack,"100 (13.1% with PokéBall, full HP)",50 (normal),175,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",82,274,368,115,211,361,74,137,271,75,139,273,64,119,249,90,166,306
Flapple,"Grass, Dragon",Apple Wing Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),"1. Ripen, 2. Gluttony, Hustle (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,110,202,350,80,148,284,95,175,317,60,112,240,70,130,262
Flareon,Fire,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs),"1. Flash Fire, Guts (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,130,238,394,60,112,240,95,175,317,110,202,350,65,121,251
Fletchinder,"Fire, Flying",Ember Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs),"1. Flame Body, Gale Wings (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),134,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",62,234,328,73,135,269,55,103,229,56,105,232,52,98,223,84,155,293
Fletchling,"Normal, Flying",Tiny Robin Pokémon,0.3 m (1′00″),1.7 kg (3.7 lbs),"1. Big Pecks, Gale Wings (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",45,200,294,50,94,218,43,81,203,40,76,196,38,72,192,62,116,245
Flittle,Psychic,Frill Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),"1. Anticipation, 2. Frisk, Speed Boost (hidden ability)",1 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),51,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,35,67,185,30,58,174,55,103,229,30,58,174,75,139,273
Floatzel,Water,Sea Weasel Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),"1. Swift Swim, Water Veil (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,105,193,339,55,103,229,85,157,295,50,94,218,115,211,361
Floette,Fairy,Single Bloom Pokémon,0.2 m (0′08″),0.9 kg (2.0 lbs),"1. Flower Veil, Symbiosis (hidden ability)",2 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",54,218,312,45,85,207,47,89,212,75,139,273,98,180,324,52,98,223
Floragato,Grass,Grass Cat Pokémon,0.9 m (2′11″),12.2 kg (26.9 lbs),"1. Overgrow, Protean (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",61,232,326,80,148,284,63,117,247,60,112,240,63,117,247,83,153,291
Florges,Fairy,Garden Pokémon,1.1 m (3′07″),10.0 kg (22.0 lbs),"1. Flower Veil, Symbiosis (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),276,Medium Fast,Fairy,"0% male, 100% female","20 (4,884–5,140 steps)",78,266,360,65,121,251,68,126,258,112,206,355,154,281,447,75,139,273
Flutter Mane,"Ghost, Fairy",Paradox Pokémon,1.4 m (4′07″),4.0 kg (8.8 lbs),1. Protosynthesis,"1 Sp. Atk, 1 Sp. Def, 1 Speed","30 (3.9% with PokéBall, full HP)",0 (lower than normal),285,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",55,220,314,55,103,229,55,103,229,135,247,405,135,247,405,135,247,405
Flygon,"Ground, Dragon",Mystic Pokémon,2.0 m (6′07″),82.0 kg (180.8 lbs),1. Levitate,"1 Attack, 2 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Slow,"Bug, Dragon","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,100,184,328,80,148,284,80,148,284,80,148,284,100,184,328
Fomantis,Grass,Sickle Grass Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),"1. Leaf Guard, Contrary (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),50,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,55,103,229,35,67,185,50,94,218,35,67,185,35,67,185
Foongus,"Grass, Poison",Mushroom Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),"1. Effect Spore, Regenerator (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),59,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",69,248,342,55,103,229,45,85,207,55,103,229,55,103,229,15,31,141
Forretress,"Bug, Steel",Bagworm Pokémon,1.2 m (3′11″),125.8 kg (277.3 lbs),"1. Sturdy, Overcoat (hidden ability)",2 Defense,"75 (9.8% with PokéBall, full HP)",50 (normal),163,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,90,166,306,140,256,416,60,112,240,60,112,240,40,76,196
Fraxure,Dragon,Axe Jaw Pokémon,1.0 m (3′03″),36.0 kg (79.4 lbs),"1. Rivalry, 2. Mold Breaker, Unnerve (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",35 (lower than normal),144,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",66,242,336,117,215,366,70,130,262,40,76,196,50,94,218,67,125,256
Frigibax,"Dragon, Ice",Ice Fin Pokémon,0.5 m (1′08″),17.0 kg (37.5 lbs),"1. Thermal Exchange, Ice Body (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),64,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",65,240,334,75,139,273,45,85,207,35,67,185,45,85,207,55,103,229
Frillish,"Water, Ghost",Floating Pokémon,1.2 m (3′11″),33.0 kg (72.8 lbs),"1. Water Absorb, 2. Cursed Body, Damp (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),67,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,40,76,196,50,94,218,65,121,251,85,157,295,40,76,196
Froakie,Water,Bubble Frog Pokémon,0.3 m (1′00″),7.0 kg (15.4 lbs),"1. Torrent, Protean (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),63,Medium Slow,Water 1,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",41,192,286,56,105,232,40,76,196,62,116,245,44,83,205,71,132,265
Frogadier,Water,Bubble Frog Pokémon,0.6 m (2′00″),10.9 kg (24.0 lbs),"1. Torrent, Protean (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,Water 1,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",54,218,312,63,117,247,52,98,223,83,153,291,56,105,232,97,179,322
Froslass,"Ice, Ghost",Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs),"1. Snow Cloak, Cursed Body (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"Fairy, Mineral","0% male, 100% female","20 (4,884–5,140 steps)",70,250,344,80,148,284,70,130,262,80,148,284,70,130,262,110,202,350
Frosmoth,"Ice, Bug",Frost Moth Pokémon,1.3 m (4′03″),42.0 kg (92.6 lbs),"1. Shield Dust, Ice Scales (hidden ability)",2 Sp. Atk,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,65,121,251,60,112,240,125,229,383,90,166,306,65,121,251
Fuecoco,Fire,Fire Croc Pokémon,0.4 m (1′04″),9.8 kg (21.6 lbs),"1. Blaze, Unaware (hidden ability)",1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",67,244,338,45,85,207,59,110,238,63,117,247,40,76,196,36,69,188
Furfrou,Normal,Poodle Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),1. Fur Coat,1 Speed,"160 (20.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,80,148,284,60,112,240,65,121,251,90,166,306,102,188,333
Furret,Normal,Long Body Pokémon,1.8 m (5′11″),32.5 kg (71.7 lbs),"1. Run Away, 2. Keen Eye, Frisk (hidden ability)",2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,76,141,276,64,119,249,45,85,207,55,103,229,90,166,306
Gabite,"Dragon, Ground",Cave Pokémon,1.4 m (4′07″),56.0 kg (123.5 lbs),"1. Sand Veil, Rough Skin (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",68,246,340,90,166,306,65,121,251,50,94,218,55,103,229,82,152,289
Gallade,"Psychic, Fighting",Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs),"1. Steadfast, 2. Sharpness, Justified (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),259,Slow,"Amorphous, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)",68,246,340,125,229,383,65,121,251,65,121,251,115,211,361,80,148,284
Mega Gallade,"Psychic, Fighting",Blade Pokémon,1.6 m (5′03″),56.4 kg (124.3 lbs),1. Inner Focus,3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,Amorphous,"100% male, 0% female","20 (4,884–5,140 steps)",68,246,340,165,301,471,95,175,317,65,121,251,115,211,361,110,202,350
Galvantula,"Bug, Electric",EleSpider Pokémon,0.8 m (2′07″),14.3 kg (31.5 lbs),"1. Compound Eyes, 2. Unnerve, Swarm (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,77,143,278,60,112,240,97,179,322,60,112,240,108,198,346
Garbodor,Poison,Trash Heap Pokémon,1.9 m (6′03″),107.3 kg (236.6 lbs),"1. Stench, 2. Weak Armor, Aftermath (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,95,175,317,82,152,289,60,112,240,82,152,289,75,139,273
Garchomp,"Dragon, Ground",Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),"1. Sand Veil, Rough Skin (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),300,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",108,326,420,130,238,394,95,175,317,80,148,284,85,157,295,102,188,333
Mega Garchomp,"Dragon, Ground",Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),1. Sand Force,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),315,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",108,326,420,170,310,482,115,211,361,120,220,372,95,175,317,92,170,311
Gardevoir,"Psychic, Fairy",Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),"1. Synchronize, 2. Trace, Telepathy (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),259,Slow,"Amorphous, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)",68,246,340,65,121,251,65,121,251,125,229,383,115,211,361,80,148,284
Mega Gardevoir,"Psychic, Fairy",Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),1. Pixilate,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),278,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",68,246,340,85,157,295,65,121,251,165,301,471,135,247,405,100,184,328
Garganacl,Rock,Rock Salt Pokémon,2.3 m (7′07″),240.0 kg (529.1 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),250,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,100,184,328,130,238,394,45,85,207,90,166,306,35,67,185
Gastly,"Ghost, Poison",Gas Pokémon,1.3 m (4′03″),0.1 kg (0.2 lbs),1. Levitate,1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,35,67,185,30,58,174,100,184,328,35,67,185,80,148,284
Gastrodon,"Water, Ground",Sea Slug Pokémon,0.9 m (2′11″),29.9 kg (65.9 lbs),"1. Sticky Hold, 2. Storm Drain, Sand Force (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,"Amorphous, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",111,332,426,83,153,291,68,126,258,92,170,311,82,152,289,39,74,194
Genesect,"Bug, Steel",Paleozoic Pokémon,1.5 m (4′11″),82.5 kg (181.9 lbs),1. Download,"1 Attack, 1 Sp. Atk, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",71,252,346,120,220,372,95,175,317,120,220,372,95,175,317,99,182,326
Gengar,"Ghost, Poison",Shadow Pokémon,1.5 m (4′11″),40.5 kg (89.3 lbs),1. Cursed Body,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),250,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,65,121,251,60,112,240,130,238,394,75,139,273,110,202,350
Mega Gengar,"Ghost, Poison",Shadow Pokémon,1.4 m (4′07″),40.5 kg (89.3 lbs),1. Shadow Tag,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),270,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,65,121,251,80,148,284,170,310,482,95,175,317,130,238,394
